Code,Alpha,Name,Address,City,State,Zip,Gross Area,Assignable
0028.00,28,Douglass,1100 E University Blvd,TUCSON,AZ,85719,"20,502.00","11,298.00"
0029.00,29,Centennial Hall,1020 E University Blvd,TUCSON,AZ,85719,"85,881.00","34,416.00"
0030.00,30,Arizona State Museum South,1010 E University Blvd,TUCSON,AZ,85719,"27,380.00","25,322.00"
0030.01,30A,Emil W. Haury Anthropology Building,1009 E South Campus Dr,TUCSON,AZ,85719,"38,906.00","24,402.00"
0031.00,31,Cochise Residence Hall,1018 E South Campus Dr,TUCSON,AZ,85719,"43,714.00","28,245.00"
0032.00,32,South Hall,1042 E South Campus Dr,TUCSON,AZ,85719,"14,793.00","9,633.00"
0033.00,33,Saguaro Hall,1110 E South Campus Dr,TUCSON,AZ,85719,"43,859.00","29,289.00"
0034.00,34,Yavapai Residence Hall,1222 E South Campus Dr,TUCSON,AZ,85719,"40,453.00","24,981.00"
0035.00,35,Herring Hall,1130 E South Campus Dr,TUCSON,AZ,85719,"7,774.00","5,903.00"
0036.00,36,Forbes,1140 E South Campus Dr,TUCSON,AZ,85719,"77,403.00","50,781.00"
0037.00,37,Carl S. Marvel Laboratories Of Chemistry,1230 E University Blvd,TUCSON,AZ,85719,"63,108.00","27,380.00"
0038.00,38,Shantz,1177 E 4 St,TUCSON,AZ,85719,"86,980.00","58,267.00"
0040.00,40,Robert L. Nugent Building,1212 E University Blvd,TUCSON,AZ,85719,"22,487.00","13,023.00"
0041.00,41,Chemistry,1306 E University Blvd,TUCSON,AZ,85719,"83,677.00","60,691.00"
0043.00,43,Biological Sciences East,1311 E 4 St,TUCSON,AZ,85719,"65,733.00","41,708.00"
0044.00,44,Chemical Sciences Building,1305 E 4 St,TUCSON,AZ,85719,"87,944.00","46,929.00"
0045.00,45,Tree Ring Archives,604 N Santa Rita Ave,TUCSON,AZ,85719,"21,989.91","15,811.00"
0045.01,45A,Tree Ring Shop,604 N Santa Rita Ave,TUCSON,AZ,85719,"1,850.00","1,630.00"
0045.02,45B,Bryant Bannister Tree Ring Building,1215 E Lowell St,TUCSON,AZ,85719,"33,491.98","18,083.00"
0046.00,46,Central Heating And Refrigeration Plant,640 N Santa Rita Ave,TUCSON,AZ,85719,"34,951.00","3,268.00"
0046.02,46B,Electrical Services Annex,630 N Santa Rita Ave,TUCSON,AZ,85719,"1,821.00","1,368.00"
0050.00,50,Santa Cruz Residence Hall,550 N Highland Ave,TUCSON,AZ,85719,"33,951.00","20,387.00"
0050.01,50A,Apache Residence Hall,570 N Highland Ave,TUCSON,AZ,85719,"29,434.00","18,667.00"
0050.02,50B,Apache Nonresidential,570 N Highland Ave,TUCSON,AZ,85719,"1,442.00",898.00
0052.00,52,Greenlee Residence Hall,610 N Highland Ave,TUCSON,AZ,85719,"30,910.00","22,859.00"
0053.00,53,Graham Residence Hall,1418 E 4 St,TUCSON,AZ,85719,"31,571.00","23,340.00"
0054.00,54,Albert B. Weaver Science-Engineering Library,744 N Highland Ave,TUCSON,AZ,85719,"122,142.00","96,990.00"
0055.00,55,Main Library,1510 E University Blvd,TUCSON,AZ,85719,"308,129.00","237,534.00"
0055.01,55A,Main Library Expansion,1510 E University Blvd,TUCSON,AZ,85719,"25,856.00","23,026.00"
0056.00,56,Bear Down Gymnasium,1428 E University Blvd,TUCSON,AZ,85719,"64,789.00","35,618.00"
0057.00,57,Hopi Lodge Residence Hall,1440 E 4 St,TUCSON,AZ,85719,"18,711.00","12,673.00"
0058.00,58,West Stadium,530 N Vine Ave,TUCSON,AZ,85719,"40,482.00","24,069.00"
0058.01,58A,Arizona Stadium,540 N Vine Ave,TUCSON,AZ,85719,0.00,0.00
0058.02,58B,Scholarship Suites,553 N Vine Ave,TUCSON,AZ,85719,"40,218.54","22,649.00"
0058.05,58E,Lowell-Stevens Football Facility,565 N Cherry Ave,TUCSON,AZ,85719,"162,510.14","71,904.00"
0058.06,58F,Arizona East Stadium II,541 N Cherry Ave,TUCSON,AZ,85719,"35,147.23","13,303.00"
0059.00,59,Pinal Residence Hall,1511 E 6 St,TUCSON,AZ,85719,"23,385.00","18,555.00"
0059.01,59A,Pinal Hall Nonresidential,1511 E 6 St,TUCSON,AZ,85719,"13,711.00","9,209.00"
0060.00,60,Navajo Residence Hall,1557 E 6 St,TUCSON,AZ,85719,"26,534.00","19,140.00"
0060.01,60A,Navajo Hall Nonresidential,1557 E 6 St,TUCSON,AZ,85719,"7,468.00","4,217.00"
0061.00,61,Arizona East Stadium I,541 N Cherry Ave,TUCSON,AZ,85719,"34,176.51","17,071.00"
0061.01,61A,East Stadium Addition,525 N National Championship Dr,TUCSON,AZ,85719,"21,295.00","10,388.00"
0061.02,61B,Richard F Caris Mirror Lab,527 N National Championship Dr,TUCSON,AZ,85719,"13,810.00","12,214.00"
0061.03,61C,Richard F Caris Mirror Lab,527 N National Championship Dr,TUCSON,AZ,85719,"21,153.00","16,963.00"
0061.05,61E,Richard F Caris Mirror Lab,527 N National Championship Dr,TUCSON,AZ,85719,"2,325.00","1,898.00"
0061.06,61F,Richard F Caris Mirror Lab,527 N National Championship Dr,TUCSON,AZ,85719,"2,400.00","1,968.00"
0062.01,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,0.00,0.00
0062.02,62B,Custodial,1722 E Enke Dr,TUCSON,AZ,85719,"3,278.00","2,373.00"
0062.04,62D,Facilities Management Ag Equipment,1783 E 6 St,TUCSON,AZ,85719,"1,925.00","1,813.00"
0062.05,62E,Facilities Management Grounds Offices,1783 E 6 St,TUCSON,AZ,85719,710.00,590.00
0063.00,63,Charles P. Sonett Space Sciences Building,1541 E University Blvd,TUCSON,AZ,85719,"20,291.00","12,145.00"
0063.01,63A,Charles P. Sonett Space Sciences Building,1541 E University Blvd,TUCSON,AZ,85719,"13,120.00","6,114.00"
0064.00,64,Steward Observatory Annex,1540 E 2 St,TUCSON,AZ,85719,"5,674.00","4,683.00"
0064.01,64A,Steward Observatory Temporary Modular Building,1540 E 2 St,TUCSON,AZ,85719,"1,440.00","1,213.00"
0065.00,65,Steward Observatory,933 N Cherry Ave,TUCSON,AZ,85719,"22,144.00","13,190.00"
0065.01,65A,Steward Observatory Addition,933 N Cherry Ave,TUCSON,AZ,85719,"57,476.00","32,257.00"
0065.02,65B,Steward Observatory Expansion,933 N Cherry Ave,TUCSON,AZ,85719,"41,020.00","23,869.00"
0065.03,65C,Steward Observatory Exp I,933 N Cherry Ave,TUCSON,AZ,85719,"8,467.00","5,378.00"
0066.00,66,Administration,1401 E University Blvd,TUCSON,AZ,85719,"61,081.00","37,579.00"
0067.00,67,Modern Languages,1423 E University Blvd,TUCSON,AZ,85719,"130,287.00","77,870.00"
0068.00,68,Psychology,1503 E University Blvd,TUCSON,AZ,85719,"84,870.00","43,573.00"
0069.00,69,Education,1430 E 2 St,TUCSON,AZ,85719,"121,986.00","71,570.00"
0070.00,70,Manuel Pacheco Integrated Learning Center,1500 E University Blvd,TUCSON,AZ,85719,"85,944.00","41,108.00"
0071.00,71,Speech And Hearing Sciences,1131 E 2 St,TUCSON,AZ,85719,"48,326.00","29,963.00"
0072.00,72,Civil Engineering,1209 E 2 St,TUCSON,AZ,85719,"61,197.00","42,478.00"
0073.00,73,Computer Center,1077 N Highland Ave,TUCSON,AZ,85719,"51,285.00","32,141.00"
0073.01,73A,Computer Center Addition,1077 N Highland Ave,TUCSON,AZ,85719,"41,285.00","24,868.00"
0074.00,74,SBS 1st Street Annex,1515 E 1 St,TUCSON,AZ,85719,"8,839.00","6,245.00"
0075.00,75,"College Of Architecture, Planning, And Landscape Architecture - West",1040 N Olive Rd,TUCSON,AZ,85719,"38,168.00","27,176.00"
0075.01,75A,"College Of Architecture, Planning, And Landscape Architecture - East",1160 E Speedway Blvd,TUCSON,AZ,85719,"41,088.00","34,315.00"
0076.00,76,Richard A. Harvill Building,1103 E 2 St,TUCSON,AZ,85719,"92,052.00","62,337.00"
0077.00,77,Gould-Simpson,1040 E 4 St,TUCSON,AZ,85719,"228,089.00","125,201.00"
0078.00,78,McClelland Park,650 N Park Ave,TUCSON,AZ,85719,"71,385.95","46,794.00"
0079.00,79,Huachuca Residence Hall,940 E 4 St,TUCSON,AZ,85719,"33,863.00","20,808.00"
0079.01,79A,Kaibab Residence Hall,922 E 4 St,TUCSON,AZ,85719,"36,318.00","24,073.00"
0079.02,79B,Kaibab Hall Nonresidential,922 E 4 St,TUCSON,AZ,85719,"1,576.00",897.00
0079.03,79C,Huachuca Hall Nonresidential,940 E 4 St,TUCSON,AZ,85719,"2,617.00","2,055.00"
0081.00,81,Physics-Atmospheric Sciences,1118 E 4 St,TUCSON,AZ,85719,"133,848.00","91,489.00"
0082.00,82,Facilities Management Elevator Shop,644 N Santa Rita Ave,TUCSON,AZ,85719,"3,253.00","1,688.00"
0083.00,83,Sonora Residence Hall,940 E 5 St,TUCSON,AZ,85719,"65,536.00","43,833.00"
0084.00,84,Arizona Residence Hall,910 E 5 St,TUCSON,AZ,85719,"62,367.00","46,198.00"
0085.00,85,Coronado Residence Hall,822 E 5 St,TUCSON,AZ,85719,"147,356.00","115,874.00"
0085.01,85A,La Aldea,825 E 5 St,TUCSON,AZ,85719,"184,446.00","115,273.00"
0086.02,86B,Archive Of Visual Arts,1014-1018 E 6 St,TUCSON,AZ,85719,"6,969.76","6,129.00"
0086.03,86C,TBA,1006 E 6 St,TUCSON,AZ,85719,"1,229.00","1,199.00"
0086.06,86F,TBA,1020 E 6 St,TUCSON,AZ,85719,376.55,302.00
0086.07,86G,TBA,1022 E 6 St,TUCSON,AZ,85719,"1,476.22","1,227.00"
0086.11,86K,TBA,1144-1148 E 6 St,TUCSON,AZ,85719,"3,841.00","2,947.00"
0086.13,86M,TBA,1010-1012 E 6 St,TUCSON,AZ,85719,"3,740.00","3,179.00"
0087.00,87,UA Global Center,615 N Park Ave,TUCSON,AZ,85719,"18,074.00","9,824.00"
0087.01,87A,UA Global Center Expansion,615 N Park Ave,TUCSON,AZ,85719,"30,675.00","25,060.00"
0088.00,88,Biological Sciences West,1041 E Lowell St,TUCSON,AZ,85719,"145,951.00","95,354.00"
0088.01,88A,Ramada No 2,1111 E Lowell St,TUCSON,AZ,85719,353.00,312.00
0089.00,89,Mathematics,617 N Santa Rita Ave,TUCSON,AZ,85719,"49,102.00","26,820.00"
0089.01,89A,Mathematics Teaching Laboratory,1129 E Lowell St,TUCSON,AZ,85719,"5,809.00","4,165.00"
0090.00,90,Animal and Comparative Biomedical Sciences,1117 E Lowell St,TUCSON,AZ,85719,"62,264.57","39,980.00"
0091.00,91,Flandrau Science Center And Planetarium,1601 E University Blvd,TUCSON,AZ,85719,"29,598.00","21,198.00"
0092.00,92,Gerard P. Kuiper Space Sciences,1629 E University Blvd,TUCSON,AZ,85719,"51,601.00","31,389.00"
0092.01,92A,Gerard P. Kuiper Space Sciences Addition,1629 E University Blvd,TUCSON,AZ,85719,"49,297.00","22,423.00"
0093.00,93,Ina E. Gittings Building,1713 E University Blvd,TUCSON,AZ,85719,"64,609.00","45,453.00"
0093.01,93A,Tennis Facility,902 N Martin Ave,TUCSON,AZ,85719,457.00,117.00
0093.02,93B,Robson Tennis Center,900 N Martin Ave,TUCSON,AZ,85719,"1,977.00","1,308.00"
0094.00,94,Meinel Optical Sciences,1630 E University Blvd,TUCSON,AZ,85719,"90,324.00","38,977.00"
0094.01,94A,Meinel Optical Sciences  Addition,1630 E University Blvd,TUCSON,AZ,85719,"36,070.00","20,288.00"
0094.02,94B,Meinel Optical Sciences Addition I,1630 E University Blvd,TUCSON,AZ,85719,765.00,747.00
0094.04,94D,Meinel Optical Sciences West Bldg Expansion,1630 E University Blvd,TUCSON,AZ,85719,"53,946.00","22,835.00"
0095.00,95,Highland Commons,1224 E Lowell St,TUCSON,AZ,85719,"87,874.00","52,220.00"
0096.00,96,McKale Memorial Center,1721 E Enke Dr,TUCSON,AZ,85719,"269,024.45","120,727.00"
0096.01,96A,Hillenbrand Aquatic Center,1827 E Enke Dr,TUCSON,AZ,85719,"9,063.27","6,902.00"
0096.02,96B,Mary Roby Gymnastics Training Center,710 N Martin Ave,TUCSON,AZ,85719,"11,708.00","8,860.00"
0096.03,96C,Eddie Lynch Athletics Pavilion,1721 E Enke Dr,TUCSON,AZ,85719,"49,527.00","39,826.00"
0098.00,98,Hillenbrand Field House,1700 E 2 St,TUCSON,AZ,85719,"1,313.00",800.00
0098.01,98A,Lapan Family Center,1700 E 2 St,TUCSON,AZ,85719,"7,048.21","3,034.00"
0098.02,98B,Rita Hillenbrand Stadium,1700 E 2 St,TUCSON,AZ,85719,"28,103.83","3,895.00"
0099.00,99,Stevie Eller Dance Theatre,1737 E University Blvd,TUCSON,AZ,85719,"30,846.00","19,753.00"
0100.00,100,Police Department,1852 E 1 St,TUCSON,AZ,85719,"17,321.00","10,086.00"
0100.01,100A,Police Department Storage,1852 E 1 St,TUCSON,AZ,85719,726.00,726.00
0102.00,102,Graduate Diversity Programs,1031 N Mountain Ave,TUCSON,AZ,85719,"1,099.00",763.00
0103.00,103,John P. Schaefer Center For Creative Photography,1030 N Olive Rd,TUCSON,AZ,85719,"53,324.00","39,015.00"
0104.00,104,Electrical And Computer Engineering,1230 E Speedway Blvd,TUCSON,AZ,85719,"149,582.00","85,917.00"
0105.00,105,Learning Services Building,1512 E 1 St,TUCSON,AZ,85719,"28,435.00","14,684.00"
0106.00,106,Life Sciences South,1007 E Lowell St,TUCSON,AZ,85719,"87,693.00","44,035.00"
0107.00,107,Marley,1145 E 4 St,TUCSON,AZ,85719,"129,785.00","66,219.00"
0108.00,108,McClelland Hall,1130 E Helen St,TUCSON,AZ,85719,"208,991.00","117,450.00"
0109.00,109,Marvin D. &#39;Swede&#39; Johnson Building,1111 N Cherry Ave,TUCSON,AZ,85719,"41,366.93","23,991.00"
0110.01,110A,University Transit Hub,1640 E University Blvd,TUCSON,AZ,85719,313.00,81.00
0111.00,111,Biochemistry Greenhouse A,1059 E 8 St,TUCSON,AZ,85719,"2,802.00","2,522.00"
0111.01,111A,Biochemistry Greenhouse B,1059 E 8 St,TUCSON,AZ,85719,"2,794.00","2,587.00"
0112.00,112,Fluid Dynamics Research Laboratory,1025 N Mountain Ave,TUCSON,AZ,85719,"4,000.00","3,645.00"
0113.00,113,Henry Koffler Building,1340 E University Blvd,TUCSON,AZ,85719,"128,992.00","71,429.00"
0114.00,114,Second Street Garage,1340 E 2 St,TUCSON,AZ,85719,"205,024.00","162,875.00"
0115.00,115,Cherry Avenue Garage,1641 E Enke Dr,TUCSON,AZ,85719,"308,356.00","128,388.00"
0115.01,115A,Cherry Avenue Garage Expansion,1641 E Enke Dr,TUCSON,AZ,85719,"80,264.00","46,732.00"
0116.00,116,Park Avenue Garage,1140 N Park Ave,TUCSON,AZ,85719,"404,579.00","217,529.00"
0117.00,117,Student Recreation Center,1400 E 6 St,TUCSON,AZ,85719,"135,870.00","87,913.00"
0117.01,117A,Student Recreation Center Expansion,1400 E 6 St,TUCSON,AZ,85719,"77,642.00","46,560.00"
0117.02,117B,Student Recreation Center - South Field Restrooms,1400 E 6 St,TUCSON,AZ,85719,782.22,143.00
0117.03,117C,Student Recreation Center - North Field Restrooms,1400 E 6 St,TUCSON,AZ,85719,616.00,0.00
0118.00,118,Colonia De La Paz Residence Hall,602 N Highland Ave,TUCSON,AZ,85719,"107,199.00","65,810.00"
0118.01,118A,Colonia De La Paz Nonresidential,602 N Highland Ave,TUCSON,AZ,85719,"2,433.00","1,981.00"
0119.00,119,Aerospace And Mechanical Engineering,1130 N Mountain Ave,TUCSON,AZ,85719,"184,586.00","91,059.00"
0120.00,120,Dennis Deconcini Environment And Natural Resources,520 N Park Ave,TUCSON,AZ,85719,"62,390.00","38,362.00"
0121.00,121,Villa Del Puente,575 N Highland Ave,TUCSON,AZ,85719,"77,693.00","38,049.00"
0121.01,121A,Villa Del Puente South,525 N Highland Ave,TUCSON,AZ,85719,"16,933.00","12,811.00"
0121.02,121B,Villa Del Puente Non-Residential,525 N Highland Ave,TUCSON,AZ,85719,"8,435.00","4,923.00"
0122.00,122,Posada San Pedro,601 N Highland Ave,TUCSON,AZ,85719,"77,693.00","38,647.00"
0123.00,123,Pueblo De La Cienega,621 N Highland Ave,TUCSON,AZ,85719,"77,693.00","38,652.00"
0124.00,124,Facilities Management - Storage,1126-1128 E 6 St,TUCSON,AZ,85719,"7,638.00","6,287.00"
0127.01,127A,Leased Out,1620 E 6 St,TUCSON,AZ,85719,720.00,504.00
0127.02,127B,Leased Out,1624 E 6 St,TUCSON,AZ,85719,"1,350.00",945.00
0127.03,127C,Leased Out,1626 E 6 St,TUCSON,AZ,85719,880.00,616.00
0127.04,127D,Leased Out,1628 E 6 St,TUCSON,AZ,85719,570.00,399.00
0128.00,128,Martin Luther King Jr. Building,1322 E 1 St,TUCSON,AZ,85719,"14,140.00","9,618.00"
0129.00,129,University Teaching Center,1600 E 1 St,TUCSON,AZ,85719,"6,057.47","3,544.00"
0131.00,131,Likins Hall,500 N Highland Ave,TUCSON,AZ,85719,"131,391.42","70,783.00"
0132.00,132,Arbol de la Vida Residence Hall,515 N Tyndall,TUCSON,AZ,85719,"234,455.27","124,607.00"
0133.00,133,Residence Life Auxiliary Services Building,542 N Euclid Ave,TUCSON,AZ,85719,"7,554.28","3,915.00"
0134.00,134,Beal Center,1030 N Mountain Ave,TUCSON,AZ,85719,"4,361.00","2,967.00"
0135.00,135,Pima Residence Hall,1340 E 1 St,TUCSON,AZ,85719,"18,114.00","15,283.00"
0135.01,135A,Pima Hall Addition,1340 E 1 St,TUCSON,AZ,85719,"21,037.00","18,458.00"
0136.00,136,Patricia A Bartlett Building,1010 N Highland Ave,TUCSON,AZ,85719,"20,548.65","12,263.00"
0137.00,137,Environment and Natural Resources 2,1064 E Lowell St,TUCSON,AZ,85719,"207,631.70","90,907.00"
0138.00,138,South Stadium Parking Structure,430 N. Warren Ave.,TUCSON,AZ,85719,"317,593.79","146,940.00"
0140.00,140,Richard Jefferson Gymnasium,720 N Martin Ave,TUCSON,AZ,85719,"30,721.00","21,646.00"
0141.00,141,Ginny L Clements Academic Center,1720 E Enke Dr,TUCSON,AZ,85719,"15,059.59","7,779.00"
0142.00,142,Cole and Jeannie Davis Sports Center,640 N National Championship Dr,TUCSON,AZ,85719,"73,294.23","71,279.00"
0150.00,150,Helen S. Schaefer Building,1508 E Helen St,TUCSON,AZ,85719,"15,315.00","9,933.00"
0151.01,151A,Babcock Office Building A,1717 E Speedway Blvd,TUCSON,AZ,85719,"12,641.00","9,546.00"
0151.02,151B,Babcock Residence Hall B,1717 E Speedway Blvd,TUCSON,AZ,85719,"26,481.00","17,670.00"
0151.03,151C,Babcock Office Building C,1717 E Speedway Blvd,TUCSON,AZ,85719,"14,278.00","12,555.00"
0151.04,151D,Babcock Office Building D,1717 E Speedway Blvd,TUCSON,AZ,85719,"3,976.00","2,660.00"
0151.05,151E,Babcock Residence Hall E,1717 E Speedway Blvd,TUCSON,AZ,85719,"10,848.00","7,012.00"
0151.06,151F,Babcock Residence Hall F,1717 E Speedway Blvd,TUCSON,AZ,85719,"7,952.00","6,528.00"
0155.06,155F,Art Works A,1509 E Helen St,TUCSON,AZ,85719,"1,448.00","1,128.00"
0155.08,155H,Sonoran UCEDD,1521 E Helen St,TUCSON,AZ,85719,"1,584.00","1,104.00"
0155.10,155J,Facilities Management Key Desk,1533 E Helen St,TUCSON,AZ,85719,"1,271.00","1,026.00"
0155.13,155M,Art Works B,1503 E Helen St,TUCSON,AZ,85719,"1,296.00",973.00
0155.14,155N,Art Works C,1515 E Helen St,TUCSON,AZ,85719,845.00,508.00
0156.00,156,Life &amp; Work Connections,715 N Park Ave,TUCSON,AZ,85719,"4,952.00","3,804.00"
0158.00,158,University Services Building,888 N Euclid Ave,TUCSON,AZ,85719,"22,369.95","75,549.00"
0158.02,158B,Louise Foucar Marshall Building,845 N Park Ave,TUCSON,AZ,85719,"98,145.00","55,598.00"
0159.00,159,Main Gate Garage,815 E 2 St,TUCSON,AZ,85719,"254,380.00","140,103.00"
0160.00,160,Tyndall Avenue Garage,880 E 4 St,TUCSON,AZ,85719,"526,104.00","271,664.00"
0167.00,167,University of Arizona Honors College,1101 E Mabel St,TUCSON,AZ,85719,"48,933.98","22,666.00"
0167.01,167A,University of Arizona Honors College - Residence Hall,1101 E Mabel St,TUCSON,AZ,85719,"302,954.37","214,673.00"
0168.00,168,University of Arizona Recreation and Wellness Center,1051 E Mabel,TUCSON,AZ,85719,"68,655.38","39,355.00"
0169.00,169,University of Arizona Honors College Parking Garage,1021 E Mabel,TUCSON,AZ,85719,"130,189.00","65,028.00"
0174.00,174,Central Refrigeration Plant,1339 E Helen St,TUCSON,AZ,85719,"28,776.00","2,391.00"
0176.00,176,College Of Law Building,1201 E Speedway Blvd,TUCSON,AZ,85719,"97,784.00","76,186.00"
0176.01,176A,College Of Law Building,1201 E Speedway Blvd,TUCSON,AZ,85719,"13,936.00","9,007.00"
0177.00,177,Rountree Hall,1145 N Mountain Ave,TUCSON,AZ,85719,"22,912.00","14,259.00"
0180.00,180,Sixth Street Garage,1201 E 6 St,TUCSON,AZ,85719,"576,962.00","228,803.00"
0180.01,180A,Facilities Management Custodial,1201 E 6 St,TUCSON,AZ,85719,"1,115.00",836.00
0180.02,180B,CALS Campus Greenhouse Support Complex,1201 E 6 St,TUCSON,AZ,85719,"12,885.00","10,628.00"
0180.03,180C,CALS Campus Greenhouse,1201 E 6 St,TUCSON,AZ,85719,"7,819.00","6,660.00"
0180.04,180D,CALS Campus Greenhouse,1201 E 6 St,TUCSON,AZ,85719,"1,459.00","1,366.00"
0181.00,181,Parking And Transportation Office Building,1117 E 6 St,TUCSON,AZ,85719,"16,605.00","8,235.00"
0182.00,182,El Portal,501 N Highland Ave,TUCSON,AZ,85719,"22,116.00","13,981.00"
0184.00,184,Arid Lands Studies,1955 E 6 St,TUCSON,AZ,85719,"17,246.00","11,570.00"
0184.01,184A,Arid Lands Studies Annex,1953 E 6 St,TUCSON,AZ,85719,770.37,663.00
0185.00,185,Little Chapel Of All Nations,1052 N Highland Ave,TUCSON,AZ,85719,"2,566.00","1,640.00"
0190.00,190,Highland Avenue Parking Garage,1240 N Highland Ave,TUCSON,AZ,85719,"489,324.00","276,255.00"
0197.00,197,Visual Arts Graduate Research Laboratory,1231 N Fremont Ave,TUCSON,AZ,85719,"24,381.00","17,108.00"
0199.00,199,Douglass House,1189 E Speedway Blvd,TUCSON,AZ,85719,"1,351.75","1,143.00"
0199.01,199A,Smith House,1195 E Speedway Blvd,TUCSON,AZ,85719,"2,274.00","1,959.00"
0201.00,201,Arizona Health Sciences Center,1501 N Campbell Ave,TUCSON,AZ,85719,"570,258.00","321,139.00"
0201.01,201A,Arizona Health Sciences Center Library,1350 N Warren Ave,TUCSON,AZ,85719,"86,816.00","58,521.00"
0201.02,201B,Steele Children&#39;s Research Center,1501 N Campbell Ave,TUCSON,AZ,85719,"49,294.00","32,164.00"
0201.05,201E,Sarver Heart Center,1501 N Campbell Ave,TUCSON,AZ,85719,"36,400.00","22,055.00"
0201.06,201F,Diamond Children&#39;s Medical Center,1501 N Campbell Ave,TUCSON,AZ,85719,0.00,0.00
0201.14,201N,AHSC - North,1501 N Campbell Ave,TUCSON,AZ,85719,"5,018.00","4,265.00"
0202.00,202,Roy P. Drachman Hall,1295 N Martin Ave,TUCSON,AZ,85719,"114,093.00","66,128.00"
0203.00,203,Nursing,1305 N Martin Ave,TUCSON,AZ,85719,"67,018.00","41,717.00"
0205.00,205,AHSC Central Heating And Refrigeration Plant,1515 N Cherry Ave,TUCSON,AZ,85719,"36,220.95","1,220.00"
0206.00,206,Facilities Management Shops,1515 N Cherry Ave,TUCSON,AZ,85719,"11,196.00","9,119.00"
0206.01,206A,Facilities Management Plumbing/Paint/Mechanical Shops,1505 N Cherry Ave,TUCSON,AZ,85719,"9,862.00","8,472.00"
0206.02,206B,Facilities Management Machine Shop,1505 N Cherry Ave,TUCSON,AZ,85719,"1,337.00","1,221.00"
0207.00,207,Skaggs Pharmaceutical Sciences Center,1703 E Mabel St,TUCSON,AZ,85719,"74,166.00","47,174.00"
0210.00,210,Facilities Management HR,1518 E Lester St,TUCSON,AZ,85719,"1,062.00",801.00
0213.00,213,Lester House,1550 E Lester St,TUCSON,AZ,85719,"1,530.00","1,174.00"
0214.00,214,Facilities Management,1502 E Lester St,TUCSON,AZ,85719,"1,096.00",995.00
0215.00,215,Facilities Management Warehouse A,1730 N Vine Ave,TUCSON,AZ,85719,"5,075.00","4,602.00"
0215.01,215A,Facilities Management Warehouse B,1730 N Vine Ave,TUCSON,AZ,85719,"3,038.00","2,930.00"
0215.02,215B,Facilities Management Trailer,1730 N Vine Ave,TUCSON,AZ,85719,"1,333.00","1,295.00"
0215.03,215C,Facilities Management Addition,1730 N Vine Ave,TUCSON,AZ,85719,"3,000.00","2,880.00"
